#RoryOHanlon	unknown-#RoryOHanlon-party	unknown-#RoryOHanlon-dob	unknown-#RoryOHanlon-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	85	Deputy Broughan, a brief final supplementary please.
#TommyBroughan	unknown-#TommyBroughan-party	unknown-#TommyBroughan-dob	unknown-#TommyBroughan-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	86	When Innogy brings the gas home, does the Minister expect that Bord Gáis will be the only distributor or is he looking forward to a new regime in that regard?
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	87	I am surprised at the Deputy's negativity because this will sustain the jobs of many Irish people in the area as well as throughout the country. It will ensure we have at least some portion of our energy supplies available to us in the future rather than having them  imported. Indeed we may get to a situation with the gas interconnector where we will be able to trade some of this outside the State and be an exporter of gas.
#TommyBroughan	unknown-#TommyBroughan-party	unknown-#TommyBroughan-dob	unknown-#TommyBroughan-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	88	Will energy sell direct?
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	89	In regard to Bord Gáis, the people who are in charge of the infrastructure will have an input in relation to the distribution of gas.
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	90	On 7 November 2002, the European Commission was formally notified of the events which Ireland proposes to designate as events of major importance to society under Article 3a of the television without frontiers directive. Under that directive, the Commission must verify that the measures proposed are compatible with EU law, communicate them to other member states and seek the opinion of the contact committee established under Article 23a of the directive.A meeting of the contact committee, which is chaired by the Commission and includes representatives from all member states, will take place tomorrow. Among the items to be discussed at that meeting are Ireland's proposals on Article 3a. My Department will be represented at that meeting. Provided the contact committee and the European Union raise no objections to Ireland's proposals, I intend at an early date to bring before each House of the Oireachtas a draft order designating the listed events.
#TommyBroughan	unknown-#TommyBroughan-party	unknown-#TommyBroughan-dob	unknown-#TommyBroughan-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	91	Can we take it that the list of key sporting events are home and away championship games, the European football championships – like many other citizens, I am pleased we have such a distinguished new football manager, Mr. Brian Kerr – the World Cup, All Ireland senior hurling and football finals, the Derby, the Grand National and possibly the Six Nations Cup? Will these vital events, about which all sides in this House felt very strongly six or eight months ago, be broadcast by the national broadcaster on terrestrial television?
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	92	If the contact committee approves the list tomorrow – we have not heard anything to the contrary – the Commission will publish the Irish list in the EU journal and it will write to each permanent representation confirming the list is compatible with EU law. I must  then kick in with the legislative requirements in relation to the draft order before each House. It will then be a matter of what matches are included under the designation. As far as we and the Attorney General are concerned it will cover the events included in the proposed list which has been sent to the Commission.
#TommyBroughan	unknown-#TommyBroughan-party	unknown-#TommyBroughan-dob	unknown-#TommyBroughan-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	93	The European Parliament is considering a new directive on the concentration of media ownership, including cross-ownership of local radio, newspapers and television networks in this country in relation to VCI decisions and so on, some of which are sub judice. Has the Irish Government made any input into the debate at Commission level in relation to concentrations of media ownership?
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	94	The Deputy is correct in saying that we are continuing to make an input. I hope I will be Minister this time next year when Ireland holds the Presidency. This is an issue which I hope to take up in the review of the television without frontiers directive. It is necessary to have a review in regard to that directive to, in effect, deal with matters about which many member states are somewhat uneasy. This will be very much an issue on my agenda next year if I continue as Minister.
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	95	As the Deputy is aware, RTE is dual funded, receiving moneys from the proceeds of the television licence fee and commercial revenue. As the national public service broadcaster, RTE is mandated to provide a comprehensive range of programmes on radio and television that reflect the cultural diversity of the whole island of Ireland and that entertain, inform and educate. This mandate includes the provision of a programming schedule that will cater for the expectations of the community generally as well as members of the community with special or minority interests.The purpose of the licence fee increase was to ensure that RTE had the necessary resources to fulfil its statutory mandate. It was accepted there was a strong case for improving the quality of RTE's programme schedules with more home-produced programming in peak time in particular. RTE's application for a licence fee increase of €43 was based on an assumption that this would generate additional income of €50 million of which €32 million would go directly to additional programming.Through the implementation of its change management programme, RTE is committed to achieving efficiencies so that the benefit to the licence fee payer from the substantial public funds provided to RTE is maximised.An integral part of the Government decision to increase the licence fee was that 5% of the net proceeds of the television licence fee, approximately €7 to €7.50, would be ring-fenced as a special broadcasting fund to encourage new, innovative and additional public service broadcasting. The remaining €35.50 will go to RTE. This is a significant increase for RTE and is accompanied by a package of reforms to ensure that the paying public get good value for their money. The decision to establish the special fund was an integral part of the comprehensive programme of measures that I announced last December to bring about a fundamental reform of public service broadcasting in Ireland. The special fund will result in enhanced public service programming on a nationwide basis over and above that provided by RTE, which will be in receipt of increased funding, and over and above that already provided by other broadcasters.It is my intention that the scheme will be administered by the Broadcasting Commission of Ireland in the first instance and ultimately by the Broadcasting Authority of Ireland. I will bring forward shortly more detailed proposals in connection with the establishment and operation of the fund.
#PaulKehoeFG	unknown-#PaulKehoeFG-party	unknown-#PaulKehoeFG-dob	unknown-#PaulKehoeFG-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	96	People will expect to see something in return when they pay increased television licence fees. This question was tabled in the hope of discovering whether the money will be invested in Irish programme making. On what sort of programme does the Minister envisage the licence fee money will be spent? Will it be spent on Irish soaps or other programmes?
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	97	There will be an increase in home produced programmes. The Irish people want an Irish broadcaster that produces programmes here, to help to keep jobs here and to support our culture and traditions. It is not desirable to have outside broadcasters always pushing programmes that are produced abroad. If we do not pay for an indigenous service, we will have to do without it. The Government took a strategic and courageous decision to give what is, in effect, a substantial licence fee increase to RTE. I assure the Deputy and the House that my Department will continue its detailed discussions with RTE and will ensure that the commitments made by RTE will be delivered.
#TommyBroughan	unknown-#TommyBroughan-party	unknown-#TommyBroughan-dob	unknown-#TommyBroughan-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	98	When RTE management and trade unions attended a meeting of the Joint Committee on Communications, Marine and Natural Resources, it was striking that trade unions made the point that RTE's regional structures have been grossly run down. It is inappropriate that the committee is sitting at the same  time as questions are being asked of the Minister for Communications, Marine and Natural Resources in the House, given that Deputies do not have the gift of bi-location. Is the Minister concerned about the regional aspects of RTE's service, for example in his territory in the north-east? Despite the fact that there are a few remarkably good regional correspondents, some of whom are justly famous, I do not get the feeling that RTE is sufficiently responsive to regional needs.Deputies are probably aware that the local authority of which I am a member had to conduct some important business in recent weeks. I found that my colleagues on Dublin City Council and I had to educate certain journalists, including some from RTE, about some basic facts relating to the operation of local government in Dublin. The Minister is aware that RTE does not have a Dublin correspondent and I believe there should be correspondents in all other areas, including Cork, Louth and Wexford.Has the Minister any strong views about RTE's coverage of politics, especially the attention it pays to this House? Does he have any ideas about how television coverage of the House could be enhanced? I appreciate that the Oireachtas needs to make changes so that it can be televised and the new Oireachtas commission should take action in that regard. I hope this debate on broadcasting will be covered on "Oireachtas Report" tonight and that it will not seem as if we are in a wooden atmosphere.
#PaulKehoeFG	unknown-#PaulKehoeFG-party	unknown-#PaulKehoeFG-dob	unknown-#PaulKehoeFG-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	99	It will be on at 12 o'clock tonight.
#TommyBroughan	unknown-#TommyBroughan-party	unknown-#TommyBroughan-dob	unknown-#TommyBroughan-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	100	That it is on so late is not good, as my party leader has stated on many occasions.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	101	The Deputy's time is up.
#TommyBroughan	unknown-#TommyBroughan-party	unknown-#TommyBroughan-dob	unknown-#TommyBroughan-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	102	The Minister knows the point I am trying to make.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	103	I call the Minister for a brief reply.
#TommyBroughan	unknown-#TommyBroughan-party	unknown-#TommyBroughan-dob	unknown-#TommyBroughan-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	104	Can we make this House more exciting on television and radio? Has the Minister held any discussions with RTE management in that regard? The programmes on BBC2 from 10.30 p.m. each night provide vivid coverage of the proceedings in Westminster and I wonder why we cannot have the same.
#PaulKehoeFG	unknown-#PaulKehoeFG-party	unknown-#PaulKehoeFG-dob	unknown-#PaulKehoeFG-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	105	The Government does not want RTE to show the House because it does not want the people to hear the lies it tells.
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	106	Perhaps we would be more entertaining if we argued in the Chamber more often. I assure Deputies Broughan and Kehoe that the issues they have raised were very much to the fore during my discussions with RTE in recent months. I assume the Deputies did not see  the advertisements placed by RTE in newspapers late last week – the station is recruiting a north-east correspondent, which I welcome.
#TommyBroughan	unknown-#TommyBroughan-party	unknown-#TommyBroughan-dob	unknown-#TommyBroughan-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	107	I am glad to hear it.
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	108	Deputy Broughan will also be glad to hear that it is intended to hire a Dublin correspondent.
#PaulKehoeFG	unknown-#PaulKehoeFG-party	unknown-#PaulKehoeFG-dob	unknown-#PaulKehoeFG-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	109	What about Wexford?
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	110	RTE has a fine south-east correspondent.
#PaulKehoeFG	unknown-#PaulKehoeFG-party	unknown-#PaulKehoeFG-dob	unknown-#PaulKehoeFG-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	111	Can the Minister name him?
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	112	The problem in the north-east used to be that matters in that region were covered by reporters and cameras from Belfast. I do not think the areas represented by Deputies Broughan and Kehoe have had to tolerate such a situation. I understand, as part of the commitment made by RTE when the licence fee increase was being discussed, that the station will increase its coverage of the proceedings of this House. I may be incorrect, but I understand that Leaders' Questions will be televised live today. I am not involved in the day-to-day running of RTE, but I am sure certain commitments have been made. The expansion of its service in the areas I have mentioned is an immediate priority – RTE has admitted that its regional coverage can have certain deficiencies. The station intends to appoint an education correspondent and a science correspondent, which is important, and it plans to expand its foreign operations.
#TommyBroughan	unknown-#TommyBroughan-party	unknown-#TommyBroughan-dob	unknown-#TommyBroughan-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	113	Is the Minister aware—
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	114	I must call time on this question.
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	115	I am glad to be the purveyor of good news.
#TommyBroughan	unknown-#TommyBroughan-party	unknown-#TommyBroughan-dob	unknown-#TommyBroughan-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	116	May I ask a brief supplementary question?
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	117	We must move on to Question No. 121.
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	118	Deputy Broughan should not claim credit for the good news.
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	119	I propose to take Questions Nos. 121 and 577 together.As the Minister of State, Deputy Browne, has indicated, funding available this year under the forestry subhead will be focused on the maintenance of a viable planting programme. In this regard, approvals for new afforestation projects will continue to be issued. Planting levels in 2003 are expected to reach at least 10,000 hectares and I hope this figure will be increased during the year. Despite the changed budgetary situation, the Government remains fully committed to the long-term development of the forestry sector and I will ensure that this commitment will be reiterated in the current negotiations on a new national partnership agreement.I am conscious of the serious concerns among forestry stake holders in relation to the budgetary situation. There have been extensive consultations with the forestry sector, involving the Minister of State, Deputy Browne, and my officials. These consultations were undertaken to ensure a positive outcome in terms of maintaining confidence in the sector, with regard to the contribution of forestry to the economy, rural development and sustainable local employment. On that basis, following the feedback which the Minister of State and my officials received from the sector, I decided that the primary focus in 2003 should be on maintaining the afforestation programme. As I stated earlier, approvals for new afforestation projects have been issued. I have also introduced new procedures in relation to processing afforestation applications, to ensure that those who wish to plant in the short to medium term will be accommodated during the current planting season. This is a pragmatic response to the changed budgetary situation and will allow the delivery of a viable planting programme in 2003.I assure the Deputy that the Government remains strongly committed to the continued development of the forestry sector. I welcome the input of the various forestry stake holders to the process in light of the changed budgetary situation and I look forward to working closely with representatives of the forestry groups in taking these matters forward.
#PaulKehoeFG	unknown-#PaulKehoeFG-party	unknown-#PaulKehoeFG-dob	unknown-#PaulKehoeFG-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	120	The Minister did not say that when the Book of Estimates was being discussed before Christmas, when aspects of the forestry industry, such as planting, were suffering. I am worried that the moneys that have been invested in forestry by nursery stock owners planters and others will be lost as a result of the cuts in the Estimates. Did the Minister say he hopes to increase planting in 2003, compared with the 2002 figure?
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	121	I hope that planting levels will reach more than 10,000 hectares this year
#PaulKehoeFG	unknown-#PaulKehoeFG-party	unknown-#PaulKehoeFG-dob	unknown-#PaulKehoeFG-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	122	I would like the Minister to ensure that money continues to be invested in forestry, as it is a viable alternative to agriculture for many people. I am glad to hear that planting is to be increased.
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	123	The amount of taxpayers' money to be invested this year in the forestry area is €82.58 million, which is a substantial sum. This is a reduction from the all-time high of the previous year of more than €100 million. Since 1997, more than €540 million – an average spend of €90 million per year – has been spent on forestry. That is, in anyone's terms, a very substantial investment by the taxpayer and a commitment by the Government to invest in the forestry industry.
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	124	From the Minister's comments that the limited resources will be concentrated on continuing the current forestry programme, I infer that the two innovative schemes that held great hope for environmentalists and people interested in forestry, namely, the neighbourhood wood scheme and the native woodland scheme, are effectively being cut, as their budgets have been slashed. These programmes have taken years in development and represent a move away from the concentration on soft wood and exotic conifers, which have very low economic value, towards not only forests of high amenity value but also, in the long run, high-value native hardwood timber. Those projects have been the first to suffer in the fairly dramatic cutbacks introduced by the Minister. Can the Minister confirm that they will get funding this year? Roughly how much will they get?
#TommyBroughan	unknown-#TommyBroughan-party	unknown-#TommyBroughan-dob	unknown-#TommyBroughan-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	125	Are we not hopelessly behind the targets set in the 1996 programme? Could the Minister explain again why he opposes part of the current EU directive on the protection of the forest environment?
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	126	Decisions on the neighbourhood wood and native woodland schemes will made shortly by the Minister of State, Deputy Browne.
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	127	What about the Minister?
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	128	The Deputy is right: they are excellent schemes.
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	129	They are about to be cut.
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	130	It is important that I restate that the amount of taxpayers' money going into this area is nearly €86 million in the current year, which in anyone's terms is substantial.
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	131	Would the Minister not put some of that into—
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	132	Would the Deputy please allow the Minister to reply?
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	133	I do not for one minute accept that there will be doom and gloom in this area. As Deputy Broughan has said, it will allow for the commitments made to be achieved.
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	134	If the Minister put some percentage of the money into the schemes—
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	135	If Deputies wish to ask a supplementary question they should write it down.
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	136	The native woodland scheme was the one scheme which gave hope to environmentalists – an innovative scheme that showed there was a future that did not involve producing Sitka spruce from the top to the bottom of the country. The Minister may be spending €90 million but if he does not spend it on the native woodland scheme there is no long-term future for the forestry industry.
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	137	That is not a question. I said in response to the Deputy's earlier question that decisions would be made shortly on those schemes.
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	138	It is to be hoped they will be the right decisions.
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	139	Following consideration of the recommendations of the Forum on Broadcasting and of submissions received on its findings, I announced a comprehensive programme of measures to be implemented that will result in a fundamental reform of public service broadcasting in Ireland. Some of these measures will be implemented in the immediate future, while others will take a little longer.One of the key recommendations of the forum was that there should only be one content regulator for Irish broadcasters. I concurred with that recommendation and the Government agreed to my proposal to establish a new regulator – the Broadcasting Authority of Ireland – that will have responsibility for content regulation and for the independent broadcasters currently licensed by the Broadcasting Commission of Ireland as well as RTE. New legislation will be necessary to give effect to the decision to establish the Broadcasting Authority of Ireland and to the establish  RTE as a commercial state company. Work has commenced in this regard.In the short-term other measures will be implemented. For example, I will shortly initiate a public consultation on a draft charter for RTE and RTE's statement of commitments for the current year will be agreed. In the first quarter of this year RTE is committed to finalising its new code of fair trading practice and to the appointment of a process auditor to its independent production unit. By the middle of the year, RTE will have established an audience council. I am also considering options for the introduction of the special fund for new, innovative and additional public service broadcasting in the period prior to the establishment of the Broadcasting Authority of Ireland.
#TommyBroughan	unknown-#TommyBroughan-party	unknown-#TommyBroughan-dob	unknown-#TommyBroughan-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	140	In the lengthy debate we had in the run up to the Minister's decision on the licence fee, it was noted by many commentators that every few years we seem to have a similar debate on the future of public sector broadcasting. Does the Minister think the programme he detailed, particularly the launching of a charter and a customer charter, secures the future of public broadcasting? Will we need to have this debate again in three or four years or more crisis discussions on the future of public broadcasting?
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	141	I agree with the Deputy – there has been a change of attitude within RTE in regard to the delivery of public service broadcasting and the commitments it made as a result of the licence fee increase. As I said on a previous question, RTE has been very quick to respond to some of the key issues. My Department officials and I will continue to meet RTE officials on a regular basis to ensure that its commitment will be fulfilled.
#EndaKenny	unknown-#EndaKenny-party	unknown-#EndaKenny-dob	unknown-#EndaKenny-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	142	The House meets today at a time of great uncertainty, when parliaments and people all over the world are discussing the possible onset of war in Iraq. I consider it an indictment of the Government that this House has not yet had a full, open debate, with questions to members of the Government, about the Government's stance on the possible catastrophic economic and social consequences for humanity of such a war. The Government has been hiding behind language. I hope the Taoiseach will answer this simple question in simple and understandable language: has the Cabinet discussed, and made a decision on, this country's attitude towards the facilities for refuelling being made available at Shannon, first, in the event of UN sanction being given under a second resolution for a military invasion of Iraq, and second, in the event of a military invasion taking place unilaterally? What would the Government do, in the latter case, about the refuelling facilities? Would  they be closed down or would the Government continue to make them available?
#Bertie	unknown-#Bertie-party	unknown-#Bertie-dob	unknown-#Bertie-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	143	A detailed debate on this matter will take place tonight. The Government has discussed this a number of times, including in a long discussion today, and the Minister will bring—
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	144	It is totally disorderly to have a display of this manner. The Deputies are completely out of order.
#TrevorSargent	unknown-#TrevorSargent-party	unknown-#TrevorSargent-dob	unknown-#TrevorSargent-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	145	A Leas-Cheann Comhairle, I feel it is necessary that the Government sees the message because it is not hearing it.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	146	The Deputy is out of order and should resume his seat.
#TrevorSargent	unknown-#TrevorSargent-party	unknown-#TrevorSargent-dob	unknown-#TrevorSargent-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	147	They need to see the message. There is an element of deafness in the Government.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	148	The Deputy is in blatant contravention of Standing Orders. He should resume his seat and the other Deputies should remove the notice.
#BillyGodfreyTimminsFG	unknown-#BillyGodfreyTimminsFG-party	unknown-#BillyGodfreyTimminsFG-dob	unknown-#BillyGodfreyTimminsFG-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	149	They are full of slogans.
#TrevorSargent	unknown-#TrevorSargent-party	unknown-#TrevorSargent-dob	unknown-#TrevorSargent-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	150	It is necessary that we get a reply from the Government as to whether its members have seen the message. There is a degree of deafness and there may also be a degree of blindness.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	151	The Deputy should resume his seat. He is in blatant contravention of Standing Orders and he knows it. The Deputies should remove the notice.
#TrevorSargent	unknown-#TrevorSargent-party	unknown-#TrevorSargent-dob	unknown-#TrevorSargent-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	152	To make the point, the notice is required. We will obviously not get a reply from the Government, so we will have to leave. I make the point that the Government has not respected the Constitution.
#EndaKenny	unknown-#EndaKenny-party	unknown-#EndaKenny-dob	unknown-#EndaKenny-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	153	I am not coming into this House to have its regulations and rules disobeyed. If Deputy Sargent and his group want to interrupt Leaders' Questions, two can play at that game.
#TrevorSargent	unknown-#TrevorSargent-party	unknown-#TrevorSargent-dob	unknown-#TrevorSargent-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	154	The Constitution is more important.
#MartinCullen	unknown-#MartinCullen-party	unknown-#MartinCullen-dob	unknown-#MartinCullen-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	155	We defend the Constitution more than the Deputy's party ever will.
#BillyGodfreyTimminsFG	unknown-#BillyGodfreyTimminsFG-party	unknown-#BillyGodfreyTimminsFG-dob	unknown-#BillyGodfreyTimminsFG-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	156	They should go and daub their slogans.
#MichaelRing	unknown-#MichaelRing-party	unknown-#MichaelRing-dob	unknown-#MichaelRing-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	157	The Deputy should hand back his salary. They are all talk but no action – he did not hand back the salary he talked about.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	158	Order. This is Leaders' Questions. The Taoiseach, to continue his reply.
#Bertie	unknown-#Bertie-party	unknown-#Bertie-dob	unknown-#Bertie-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	159	The Minister for Foreign Affairs will make a detailed statement on all the circumstances tonight. The Deputy asked what would happen over the next few weeks because there is much uncertainty about what may or may not happen between the US and the UK. The Government totally and absolutely supports the position as set out by the Secretary General of the United Nations, Kofi Annan – we want to see a peaceful resolution to this issue. The Secretary General does not consider that we have commenced a war. He is not opposed to any military build-up to try to get compliance with Resolution 1441 of 8 November 2002. Until action takes place, the traditional arrangements for fuelling and flyovers will remain. Our preferred solution is that the Security Council debates the new report when it is issued, probably in mid-February, and agrees a new resolution. Whatever happens from that point will be based on the report and its contents. We would like to see this dealt with successfully without military action but that is in the hands of the Iraqi authorities.If there is no resolution at the UN , or it does not get to debate or agree a resolution, and there is unilateral action by the US on its own, the US and the UK, or the US, the UK and others, without a mandate from the Security Council, we will have to consider the position at that stage. We would have to revert to the House and the Government would have to make a decision. I hope it does not come to that but we have put contingency arrangements in place if that is the way it falls. I think that answers the Deputy's questions.For the information of the House, many issues were raised over the Christmas break about the various procedures and we will outline them in great detail in a contribution this evening.
#EndaKenny	unknown-#EndaKenny-party	unknown-#EndaKenny-dob	unknown-#EndaKenny-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	160	I am not a supporter of the brutal regime of Saddam Hussein and we completely understand the economic, political and social ties between this country and the United States, however we are a sovereign independent people. The Taoiseach did not answer whether the Cabinet had discussed or made any decision on this, nor has he referred to Ireland's central role in European affairs – this country was critical to the expansion of the European Union arising from the people's decision in the referendum on the Treaty of Nice. We should know what the position and attitude of the Cabinet will be in the event of an invasion taking place without UN sanction. It is a shame the Dáil has not had an opportunity to debate this, not just by way of Private Members' motion, but with questions and  answers so the people's representatives can give their views on what could be a catastrophic occasion. When the first bombs fall on Baghdad it will be too late to call the House back for such a debate. Will the Taoiseach tell us what is his and the Government's attitude regarding the need for UN sanction for action and is he bringing that response to the other leaders of Europe as is his duty and responsibility?
